pcod,adm3_sections,est_pop_2020_01,admin3_growth_2020,admin3_growth_2021,admin3_growth_2022,admin3_growth_2023,admin3_growth_2024
HT0114-03,3e Section Etang du Jonc,110980,1.0020894,1.0020183,1.0019481,1.0018852,1.0017889
HT0114-04,4e Section Bellevue la Montagne,9483.6289,.99921328,.99918807,.99917966,.99916279,.9991433
HT0114-05,5e Section Bellevue Chardonnière,281452.56,1.0021335,1.0020618,1.0019906,1.0019269,1.0018294
HT0115-01,1re Section Nouvelle Touraine,12617.367,.99921328,.99918807,.99917966,.99916279,.9991433
HT0115-02,2e Section Bongars,5930.8677,.99921328,.99918807,.99917966,.99916279,.9991433
HT0115-03,3e Section Sourcailles,32750.234,1.0016816,1.0016171,1.0015556,1.0014992,1.0014137
HT0115-04,4e Section Belle Fontaine,3423.6785,.99921328,.99918807,.99917966,.99916279,.9991433
HT0115-05,5e Section Grand Fond,6029.1694,.99921328,.99918807,.99917966,.99916279,.9991433
HT0116-01,1re Section Morne à Bateau,25582.691,.99921328,.99918807,.99917966,.99916279,.9991433
HT0116-02,2e Section Morne Chandelle,22302.264,1.0017626,1.0016968,1.0016335,1.0015758,1.0014882
HT0116-03,3e Section Petit Boucan,20821.582,1.0006239,1.0005763,1.0005375,1.0004981,1.000441
HT0117-01,2e Section des Varreux,61665.27,1.0022308,1.0021576,1.0020843,1.002019,1.0019189
HT0117-02,1re Section des Varreux,41251.344,1.0022308,1.0021576,1.0020843,1.002019,1.0019189
HT0118-03,3e Section Bellevue,112452.57,1.0022308,1.0021576,1.0020843,1.002019,1.0019189
HT0118-04,4e Section Bellevue,37787.477,1.0022308,1.0021576,1.0020843,1.002019,1.0019189
HT0121-01,1re Section Dessources,122010.55,1.0018674,1.0018001,1.0017345,1.0016751,1.0015848
HT0121-02,2e Section Petite Rivière,48057.863,1.0013554,1.0012962,1.0012417,1.0011905,1.0011138
HT0121-03,3e Section Grande Rivère,23120.879,.99921328,.99918807,.99917966,.99916279,.9991433
HT0121-04,4e Section Fond de Boudin,14353.479,1.0017047,1.0016398,1.0015779,1.0015211,1.001435
HT0121-05,5e Section Palmiste à Vin,4474.2158,.99921328,.99918807,.99917966,.99916279,.9991433
HT0121-06,6e Section Orangers,1463.6027,.99921328,.99918807,.99917966,.99916279,.9991433
HT0121-07,7e Section Parques,1628.4318,.99921328,.99918807,.99917966,.99916279,.9991433
HT0121-08,8e Section Beauséjour,1604.6011,.99921328,.99918807,.99917966,.99916279,.9991433
HT0121-09,9e Section Citronniers,1248.1334,.99921328,.99918807,.99917966,.99916279,.9991433
HT0121-10,10e Section Fond d'Oie,7161.2275,.99921328,.99918807,.99917966,.99916279,.9991433
HT0121-11,11e Section Gros Morne,2568.752,.99921328,.99918807,.99917966,.99916279,.9991433
HT0121-12,12e Section Cormiers,2130.8625,.99921328,.99918807,.99917966,.99916279,.9991433
HT0121-13,13e Section Petit Harpon,2255.9739,.99921328,.99918807,.99917966,.99916279,.9991433
HT0122-01,1re Section Bino,32276.191,1.0019367,1.0018681,1.0018011,1.0017407,1.0016484
HT0122-02,2e Section Delatre,5939.3496,.99921328,.99918807,.99917966,.99916279,.9991433
HT0122-03,3e Section Trou Chouchou,1581.7633,.99921328,.99918807,.99917966,.99916279,.9991433
HT0122-04,4e Section Fond Arabie,1430.8354,.99921328,.99918807,.99917966,.99916279,.9991433
HT0122-05,5e Section Trou Canari,516.33203,.99921328,.99918807,.99917966,.99916279,.9991433
HT0122-06,6e Section Trou Canari,2043.4833,.99921328,.99918807,.99917966,.99916279,.9991433
HT0122-07,7e Section des Platons,3785.2634,.99921328,.99918807,.99917966,.99916279,.9991433
HT0122-08,8e Section des Platons,7481.7451,.99921328,.99918807,.99917966,.99916279,.9991433
HT0122-09,9e Section des Palmes,1675.1002,.99921328,.99918807,.99917966,.99916279,.9991433
HT0122-10,10e Section des Palmes,1894.5127,.99921328,.99918807,.99917966,.99916279,.9991433
HT0122-11,11e Section Ravine Sèche,125909.31,1.0021702,1.002098,1.002026,1.0019617,1.0018632
HT0122-12,12e Section des Fourques,21367.395,1.0019513,1.0018826,1.0018152,1.0017545,1.0016619
HT0123-01,1re Section Tête-à-Boeuf,55419.809,1.0018806,1.0018131,1.0017473,1.0016876,1.0015968
HT0123-02,2e Section Tête-à-Boeuf,10189.614,.99921328,.99918807,.99917966,.99916279,.9991433
HT0123-03,3e Section Moussambé,3336.2993,.99921328,.99918807,.99917966,.99916279,.9991433
HT0123-04,4e Section Moussambé,6719.2671,.99921328,.99918807,.99917966,.99916279,.9991433
HT0123-05,5e Section Grande Colline,5127.5742,.99921328,.99918807,.99917966,.99916279,.9991433
HT0123-06,6e Section Grande Colline,4561.5947,.99921328,.99918807,.99917966,.99916279,.9991433
HT0123-07,7e Section Gérard,56992.133,.99921328,.99918807,.99917966,.99916279,.9991433
HT0131-01,1re Section des Varreux,71741.555,.99921328,.99918807,.99917966,.99916279,.9991433
HT0131-02,2e Section des Varreux,153653.88,1.0015429,1.0014806,1.0014222,1.0013679,1.0012861
HT0131-03,3e Section Petit Bois,52072.18,1.0016763,1.0016119,1.0015506,1.0014943,1.0014089
HT0131-04,4e Section Petit Bois,10303.676,.99921328,.99918807,.99917966,.99916279,.9991433
HT0131-05,5e Section Petit Bois,21610.111,.99921328,.99918807,.99917966,.99916279,.9991433
HT0131-06,6e Section Belle Fontaine,2037.5256,.99921328,.99918807,.99917966,.99916279,.9991433
HT0131-07,7e Section Belle Fontaine,3895.3279,.99921328,.99918807,.99917966,.99916279,.9991433
HT0131-08,8e Section Belle Fontaine,7119.4243,.99921328,.99918807,.99917966,.99916279,.9991433
HT0131-09,9e Section des Crochus,24594.947,.99921328,.99918807,.99917966,.99916279,.9991433
HT0131-10,10e Section des Orangers,7304.1123,.99921328,.99918807,.99917966,.99916279,.9991433
HT0132-01,1re Section Grande Plaine,31397.197,1.0011872,1.0011307,1.0010798,1.0010313,1.000959
HT0132-02,2e Section Grande Plaine,5373.8247,.99921328,.99918807,.99917966,.99916279,.9991433
HT0132-03,3e Section Trou d'Eau,6381.6655,.99921328,.99918807,.99917966,.99916279,.9991433
HT0132-04,4e Section des Crochus,16561.152,.99921328,.99918807,.99917966,.99916279,.9991433
HT0133-01,1re Section Galette Chambon,6336.9829,.99921328,.99918807,.99917966,.99916279,.9991433
HT0133-02,2e Section Balan,6171.1606,.99921328,.99918807,.99917966,.99916279,.9991433
HT0133-03,3e Section Fond Parisien,31440.131,1.0015839,1.001521,1.0014616,1.0014067,1.0013238
HT0133-04,5e Section Pays Pourri,4429.5332,.99921328,.99918807,.99917966,.99916279,.9991433
HT0133-05,4e Section Mare Roseaux,19178.5,1.0015134,1.0014516,1.0013937,1.00134,1.001259
HT0134-01,1re Section Plaine Céleste,12554.812,.99921328,.99918807,.99917966,.99916279,.9991433
HT0134-02,2e Section Plaine Céleste,10602.022,1.0000296,.99999136,.99996537,.99993545,.99989414
HT0134-03,3e Section Boucan Bois Pin,13167.46,.99921328,.99918807,.99917966,.99916279,.9991433
HT0134-04,4e Section Boucan Bois Pin,15000.438,.99921328,.99918807,.99917966,.99916279,.9991433
HT0134-05,5e Section Génipailler,8312.9453,.99921328,.99918807,.99917966,.99916279,.9991433
HT0135-01,1re Section Fonds-Verrettes,52860.156,1.0005234,1.0004773,1.0004407,1.0004029,1.0003484
HT0141-01,1re Section Boucassin,3227.0752,.99921328,.99918807,.99917966,.99916279,.9991433
HT0141-02,2e Section Fonds Baptiste,9309.8633,.99921328,.99918807,.99917966,.99916279,.9991433
HT0141-03,3e Section des Vases,105492.77,1.0018413,1.0017743,1.0017093,1.0016505,1.0015607
HT0141-04,4e Section Montrouis,8021.0195,.99921328,.99918807,.99917966,.99916279,.9991433
HT0141-05,5e Section Délices,7690.3687,.99921328,.99918807,.99917966,.99916279,.9991433
HT0141-06,6e Section Matheux,8412.2402,.99921328,.99918807,.99917966,.99916279,.9991433
HT0142-01,1re Section Boucassin,72141,.99921328,.99918807,.99917966,.99916279,.9991433
HT0142-02,2e Section Boucassin,15917,1.0021052,1.0020341,1.0019635,1.0019002,1.0018035
HT0142-03,3e Section Source Matelas,16672.916,.99921328,.99918807,.99917966,.99916279,.9991433
HT0142-04,4e Section Fonds des Blancs (Casale),2601.519,.99921328,.99918807,.99917966,.99916279,.9991433
HT0151-01,1re Section Palma,25990.98,.99921328,.99918807,.99917966,.99916279,.9991433
HT0151-02,2e Section Petite Source,35599.02,1.0021036,1.0020324,1.0019618,1.0018986,1.001802
HT0151-03,3e Section Grande Source,2115.9683,.99921328,.99918807,.99917966,.99916279,.9991433
HT0151-04,4e Section Grand Lagon,4203.1411,.99921328,.99918807,.99917966,.99916279,.9991433
HT0151-05,5e Section Picmy,734.78021,.99921328,.99918807,.99917966,.99916279,.9991433
HT0151-06,6e Section Petite Anse,1333.5267,.99921328,.99918807,.99917966,.99916279,.9991433
HT0152-01,5e Section Gros Mangle,2224.1995,.99921328,.99918807,.99917966,.99916279,.9991433
HT0152-02,1re Section la Source,3409.7773,.99921328,.99918807,.99917966,.99916279,.9991433
HT0152-03,2e Section Grand Vide,4059.1641,.99921328,.99918807,.99917966,.99916279,.9991433
HT0152-04,3e Section Trou Louis,5872.2837,.99921328,.99918807,.99917966,.99916279,.9991433
HT0152-05,4e Section Pointe à Raquette,9789.2783,1.001453,1.0013922,1.0013356,1.0012829,1.0012035
HT0211-01,1re Section Bas Cap Rouge,70502.406,1.0005679,1.0005212,1.0004836,1.0004451,1.0003893
HT0211-02,2e Section Fond Melon (Selles),1877.6613,.99921328,.99918807,.99917966,.99916279,.9991433
HT0211-03,3e Section Cochon Gras,12985.751,.99921328,.99918807,.99917966,.99916279,.9991433
HT0211-04,4e Section La Gosseline,5295.3823,.99921328,.99918807,.99917966,.99916279,.9991433
HT0211-05,5e Section Marbial,2534.3342,.9999904,.99995285,.9999277,.99989837,.99985814
HT0211-06,6e Section Montagne La Voûte,44842.195,1.0008274,1.0007765,1.0007334,1.0006907,1.000628
HT0211-07,7e Section Grande Rivière de Jacmel,6757.9917,.99921328,.99918807,.99917966,.99916279,.9991433
HT0211-08,8e Section Bas Coq Chante,10724.813,.99921328,.99918807,.99917966,.99916279,.9991433
HT0211-09,9e Section Haut Coq Chante,6207.8999,.99921328,.99918807,.99917966,.99916279,.9991433
HT0211-10,10e Section La Vanneau,10516.293,.99921328,.99918807,.99917966,.99916279,.9991433
HT0211-11,11e Section La Montagne,21509.201,.99921328,.99918807,.99917966,.99916279,.9991433
HT0212-01,1re Section Corail Soult,19505.363,.99995166,.99991471,.99989045,.99986172,.9998225
HT0212-02,2e Section Grande Rivière Fesles,6924.8071,.99921328,.99918807,.99917966,.99916279,.9991433
HT0212-03,3e Section Macary,17415.283,.99921328,.99918807,.99917966,.99916279,.9991433
HT0212-04,4e Section Fond Jean Noël,16949.084,.99938184,.99935395,.99934191,.99932235,.99929833
HT0212-05,5e Section Savane Dubois,14688.633,.99997514,.99993783,.99991304,.99988395,.99984407
HT0213-01,1re Section Ravine Normande,12081.303,.99975967,.99972576,.99970561,.99967998,.99964589
HT0213-02,2e Section Gaillard,15991.827,.99966151,.9996292,.99961114,.99958706,.99955559
HT0213-03,3e Section Haut Cap Rouge,5988.4585,.99921328,.99918807,.99917966,.99916279,.9991433
HT0213-04,2e Section Fond Melon Michineau,6635.8594,.99921328,.99918807,.99917966,.99916279,.9991433
HT0214-01,1re Section La Vallée de Jacmel ou Muzac,16260.464,.99948376,.99945426,.99944001,.99941885,.99939209
HT0214-02,2e Section La Vallée de Bainet ou Ternier,9917.5469,.99921328,.99918807,.99917966,.99916279,.9991433
HT0214-03,3e Section Morne à Brûler,10194.579,.99921328,.99918807,.99917966,.99916279,.9991433
HT0221-01,1re Section Brésilienne,10907.514,.99921328,.99918807,.99917966,.99916279,.9991433
HT0221-02,2e Section Trou Mahot,10060.531,.99921328,.99918807,.99917966,.99916279,.9991433
HT0221-03,3e Section La Vallée de Bainet,10424.942,.99921328,.99918807,.99917966,.99916279,.9991433
HT0221-04,4e Section Haut Grandou,5131.5459,.99921328,.99918807,.99917966,.99916279,.9991433
HT0221-05,5e Section Bas de Grandou,16184.719,1.0000789,1.0000399,1.0000129,.99998212,.9999395
HT0221-06,6e Section Bas de Lacroix,1872.6965,.99921328,.99918807,.99917966,.99916279,.9991433
HT0221-07,7e Section Bras Gauche,4791.9585,.99921328,.99918807,.99917966,.99916279,.9991433
HT0221-08,8e Section Oranger,8549.2666,.99921328,.99918807,.99917966,.99916279,.9991433
HT0221-09,9e Section Bas des Gris Gris,18864.984,.99921328,.99918807,.99917966,.99916279,.9991433
HT0222-01,1re Section Gris Gris,16880.086,.99921328,.99918807,.99917966,.99916279,.9991433
HT0222-02,2e Section Labiche,7714.1992,.99921328,.99918807,.99917966,.99916279,.9991433
HT0222-03,3e Section Bras Gauche,2721.6655,.99921328,.99918807,.99917966,.99916279,.9991433
HT0222-04,4e Section Amazone,4050.2275,.99921328,.99918807,.99917966,.99916279,.9991433
HT0222-05,5e Section Boucan Bélier,3533.8955,.99921328,.99918807,.99917966,.99916279,.9991433
HT0222-06,6e Section Jamais Vu,14183.128,.99981362,.99977887,.99975753,.99973106,.99969554
HT0231-01,1re Section Bais d'Orange,9815.2734,.99921328,.99918807,.99917966,.99916279,.9991433
HT0231-02,2e Section Mabriole,10826.093,.99921328,.99918807,.99917966,.99916279,.9991433
HT0231-03,3e Section Callumette,5414.5356,.99921328,.99918807,.99917966,.99916279,.9991433
HT0231-04,4e Section Corail Lamothe,10067.481,.99921328,.99918807,.99917966,.99916279,.9991433
HT0231-05,5e Section Bel Air,17699.738,1.0000995,1.0000602,1.0000328,1.0000017,.99995852
HT0231-06,6e Section Pichon,9260.2168,.99921328,.99918807,.99917966,.99916279,.9991433
HT0231-07,7e Section Mapou,13125.089,.99933046,.9993034,.99929243,.99927372,.99925107
HT0232-01,1re Section Colline des Chênes ou Bodarie,17372.107,.99975508,.99972129,.9997012,.99967569,.99964172
HT0233-01,1re Section Thiotte,26118.9,1.0001251,1.0000854,1.0000573,1.0000259,.999982
HT0233-02,2e Section Pot de Chambre,9656.4023,.99921328,.99918807,.99917966,.99916279,.9991433
HT0234-01,1re Section Boucan Guillaume,19103.887,1.0016305,1.0015669,1.0015064,1.0014509,1.0013669
HT0234-02,2e Section Bois d'Orme,12955.962,.99921328,.99918807,.99917966,.99916279,.9991433
HT0311-01,1re Section Bande du Nord,26473.098,1.0019869,1.0019176,1.0018495,1.0017881,1.0016946
HT0311-02,2e Section Haut du Cap,173134.95,1.0022259,1.0021528,1.0020795,1.0020144,1.0019144
HT0311-03,3e Section Petit Anse,115969.63,1.0021551,1.0020831,1.0020114,1.0019474,1.0018493
HT0312-01,1re Section Basse Plaine,13868.933,1.0000924,1.0000533,1.0000259,.99999499,.99995196
HT0312-02,2e Section Morne Pelé,14060.769,.99952561,.99949539,.99948031,.99945843,.9994306
HT0313-01,1re Section Basse Plaine,18073.063,1.0003973,1.0003533,1.0003195,1.0002836,1.0002325
HT0313-02,2e Section Bois de Lance,11145.821,.99921328,.99918807,.99917966,.99916279,.9991433
HT0313-03,3e Section Roucou,29031.082,1.0010897,1.0010346,1.0009859,1.000939,1.0008693
HT0321-01,1re Section Camp-Louise,9102.4619,.99992663,.99989009,.99986631,.99983799,.99979949
HT0321-02,2e Section Bas de l'Acul (Basse Plaine),23931.391,1.0007913,1.000741,1.0006987,1.0006565,1.0005949
HT0321-03,3e Section Mornet,10909.5,.99921328,.99918807,.99917966,.99916279,.9991433
HT0321-04,4e Section Grande Ravine,3609.3594,.99921328,.99918807,.99917966,.99916279,.9991433
HT0321-05,5e Section Coupe à David,2797.1294,.99921328,.99918807,.99917966,.99916279,.9991433
HT0321-06,6e Section Soufrière,7310.96,.99953741,.99950701,.99949169,.99946958,.99944144
HT0322-01,1re Section Morne Rouge,14365.946,.99921328,.99918807,.99917966,.99916279,.9991433
HT0322-02,2e Section Basse Plaine,17300.615,1.0014549,1.001394,1.0013374,1.0012846,1.0012052
HT0322-03,3e Section Grand Boucan,10341.137,1.0004469,1.000402,1.000367,1.0003304,1.000278
HT0322-04,4e Section Bassin Diamant,1329.5549,.99921328,.99918807,.99917966,.99916279,.9991433
HT0323-01,1re Section Perches-de-Bonnet,9607.7471,.99921328,.99918807,.99917966,.99916279,.9991433
HT0323-02,2e Section Bonnet à l'Evêque,14727.266,1.0012498,1.0011922,1.00114,1.0010904,1.0010165
HT0323-03,3e Section Genipailler,9150.8164,1.0000165,.99997842,.99995273,.99992299,.99988204
HT0331-01,1re Section Grand Gilles,3887.3845,.99921328,.99918807,.99917966,.99916279,.9991433
HT0331-02,2e Section Solon,3503.1143,.99921328,.99918807,.99917966,.99916279,.9991433
HT0331-03,3e Section Caracol,3094.0205,.99921328,.99918807,.99917966,.99916279,.9991433
HT0331-04,4e Section Gambade,3458.4316,.99921328,.99918807,.99917966,.99916279,.9991433
HT0331-05,5e Section Jolitrou,6961.5459,.99921328,.99918807,.99917966,.99916279,.9991433
HT0331-06,6e Section Cormiers,22997.436,1.0018872,1.0018195,1.0017536,1.0016938,1.0016029
HT0332-01,1re Section Bois Pin,6425.355,.99921328,.99918807,.99917966,.99916279,.9991433
HT0332-02,2e Section Bailly ou Bailla,13862.984,.99992639,.99988985,.99986607,.99983782,.99979925
HT0332-03,3e Section Montagne Noire,3253.8848,.99921328,.99918807,.99917966,.99916279,.9991433
HT0341-01,1re Section Bois Neuf,5159.3486,.99921328,.99918807,.99917966,.99916279,.9991433
HT0341-02,2e Section Mathurin,3657.021,.99921328,.99918807,.99917966,.99916279,.9991433
HT0341-03,3e Section Bouyaha,7309.0771,.99921328,.99918807,.99917966,.99916279,.9991433
HT0341-04,4e Section San-Yago,40062.523,1.0007377,1.0006882,1.0006469,1.0006057,1.0005455
HT0342-01,1re Section Brostage,5785.8975,.99921328,.99918807,.99917966,.99916279,.9991433
HT0342-02,2e Section Bassin Caïman,3929.0881,.99921328,.99918807,.99917966,.99916279,.9991433
HT0342-03,3e Section Matador,6971.4756,.99921328,.99918807,.99917966,.99916279,.9991433
HT0342-04,4e Section Laguille,16445.635,1.0016801,1.0016158,1.0015543,1.0014979,1.0014125
HT0342-05,5e Section Haut du Trou,3096.0063,.99921328,.99918807,.99917966,.99916279,.9991433
HT0343-01,1re Section Bac à Soude,13203.812,1.0005192,1.0004731,1.0004367,1.0003989,1.0003445
HT0343-02,2e Section Bois de Lance,9235.3926,.99921328,.99918807,.99917966,.99916279,.9991433
HT0343-03,3e Section Cracaraille,5863.3472,.99921328,.99918807,.99917966,.99916279,.9991433
HT0344-01,1re Section Savannette,31254.125,1.0009948,1.0009413,1.0008945,1.0008491,1.000782
HT0344-02,2e Section la Belle Mère,14267.645,.99921328,.99918807,.99917966,.99916279,.9991433
HT0345-01,1re Section de la Victoire,11350.508,1.0009043,1.0008522,1.0008074,1.0007634,1.0006988
HT0351-01,1re Section Margot,11877.623,.99921328,.99918807,.99917966,.99916279,.9991433
HT0351-02,2e Section Boucan Michel,12729.57,.99921328,.99918807,.99917966,.99916279,.9991433
HT0351-03,3e Section Petit Bourg de Borgne,13990.693,1.0001258,1.0000861,1.0000581,1.0000266,.99998271
HT0351-04,4e Section Trou d'Enfer,4060.157,.99921328,.99918807,.99917966,.99916279,.9991433
HT0351-05,5e Section Champagne,1570.8409,.99921328,.99918807,.99917966,.99916279,.9991433
HT0351-06,6e Section Molas,6505.7837,.99921328,.99918807,.99917966,.99916279,.9991433
HT0351-07,7e Section Côte de Fer et Fond Lagrange,17588.566,1.0008016,1.000751,1.0007085,1.0006661,1.0006043
HT0352-01,1re Section de Grande Plaine,1878.6542,.99921328,.99918807,.99917966,.99916279,.9991433
HT0352-02,2e Section Bas Petit Borgne,20839.406,1.0016391,1.0015754,1.0015148,1.001459,1.0013747
HT0352-03,3e Section de Corail,8244.4326,.99921328,.99918807,.99917966,.99916279,.9991433
HT0352-04,4e Section Haut Petit Borgne,2920.2549,.99921328,.99918807,.99917966,.99916279,.9991433
HT0352-05,5e Section Bas Quartier,10194.223,1.0002469,1.0002052,1.0001745,1.0001411,1.0000941
HT0352-06,6e Section Bras Gauche,8876.041,1.0007124,1.0006634,1.0006227,1.0005819,1.0005223
HT0361-01,1re Section Haut Limbé ou Acul Jeannot,4455.3496,.99921328,.99918807,.99917966,.99916279,.9991433
HT0361-02,2e Section Chabotte,15102.157,.99921328,.99918807,.99917966,.99916279,.9991433
HT0361-03,3e Section Camp Coq,10502.316,1.0005641,1.0005174,1.0004799,1.0004414,1.0003859
HT0361-04,4e Section Soufrière,5439.3594,.99921328,.99918807,.99917966,.99916279,.9991433
HT0361-05,5e Section Ravine Desroches,67947.953,1.0019875,1.0019181,1.00185,1.0017887,1.001695
HT0361-06,6e Section Ilot-à-Corne,2256.9668,.99921328,.99918807,.99917966,.99916279,.9991433
HT0362-01,1re Section Garde Champètre (Bas Limbé),1682.0509,.99921328,.99918807,.99917966,.99916279,.9991433
HT0362-02,2e Section Petit Howars (la Fange),20497.555,1.0007262,1.0006769,1.000636,1.0005949,1.0005349
HT0371-01,1re Section Gobert ou Colline Gobert,8266.2773,.99921328,.99918807,.99917966,.99916279,.9991433
HT0371-02,2e Section Champagne,3690.781,.99921328,.99918807,.99917966,.99916279,.9991433
HT0371-03,3e Section Haut Martineau,2833.8684,.99921328,.99918807,.99917966,.99916279,.9991433
HT0371-04,4e Section Mapou,6221.8008,.99921328,.99918807,.99917966,.99916279,.9991433
HT0371-05,5e Section la Trouble,6313.1519,.99921328,.99918807,.99917966,.99916279,.9991433
HT0371-06,6e Section la Ville,6115.5557,.99921328,.99918807,.99917966,.99916279,.9991433
HT0371-07,7e Section Bassin,27156.088,1.0017756,1.0017097,1.0016462,1.0015882,1.0015002
HT0371-08,8e Section Grande Rivière,11698.893,.99921328,.99918807,.99917966,.99916279,.9991433
HT0372-01,1re Section Ballon,21063.066,1.0005182,1.0004723,1.0004358,1.000398,1.0003437
HT0372-02,2e Section Baudin,4370.9492,.99921328,.99918807,.99917966,.99916279,.9991433
HT0372-03,3e Section Ravine Trompette,7278.2959,.99921328,.99918807,.99917966,.99916279,.9991433
HT0372-04,4e Section Joly,3274.7366,.99921328,.99918807,.99917966,.99916279,.9991433
HT0372-05,5e Section Dubourg,2634.2864,.99921328,.99918807,.99917966,.99916279,.9991433
HT0372-06,6e Section Piment,2779.2563,.99921328,.99918807,.99917966,.99916279,.9991433
HT0372-07,7e Section Rivière Laporte,3954.9048,.99921328,.99918807,.99917966,.99916279,.9991433
HT0372-08,8e Section Margot,9578.9521,.99921328,.99918807,.99917966,.99916279,.9991433
HT0411-01,1re Section Dumas,28380.754,1.0019617,1.0018928,1.0018252,1.0017643,1.0016714
HT0411-02,2e Section Bayaha,3148.6323,.99921328,.99918807,.99917966,.99916279,.9991433
HT0411-03,3e Section Loiseau,3506.3901,1.0012199,1.0011628,1.0011111,1.0010622,1.0009891
HT0411-04,4e Section Haut Madeleine,3470.3308,1.001711,1.001646,1.0015839,1.0015271,1.0014408
HT0412-01,1re Section Bas Maribahoux,15976.356,1.0011674,1.0011111,1.0010607,1.0010126,1.0009408
HT0413-01,1re Section Haut des Perches,2067.314,.99921328,.99918807,.99917966,.99916279,.9991433
HT0413-02,2e Section Bas des Perches,10485.401,1.0014464,1.0013857,1.0013292,1.0012766,1.0011975
HT0421-01,1re Section Haut Maribahoux,95042.078,1.0018092,1.0017428,1.0016786,1.0016201,1.0015312
HT0421-02,2e Section Acul des Pins,4792.9512,.99921328,.99918807,.99917966,.99916279,.9991433
HT0421-03,3e Section Savane Longue,9495.5449,.99921328,.99918807,.99917966,.99916279,.9991433
HT0421-04,4e Section Savane au Lait,4222.0073,.99921328,.99918807,.99917966,.99916279,.9991433
HT0421-05,5e Section Gens de Nantes,3189.3433,.99921328,.99918807,.99917966,.99916279,.9991433
HT0422-01,1re Section Capotille,13384.03,.99955177,.9995212,.99950552,.99948323,.99945468
HT0422-02,2e Section Lamine,6069.8804,.99921328,.99918807,.99917966,.99916279,.9991433
HT0423-01,1re Section Savanette,16807.775,1.000204,1.000163,1.0001333,1.0001005,1.0000545
HT0423-02,2e Section Bois Poux,4784.0146,.99921328,.99918807,.99917966,.99916279,.9991433
HT0431-01,1re Section Garcin,2330.4448,.99921328,.99918807,.99917966,.99916279,.9991433
HT0431-02,2e Section Roucou,42610.496,1.0013808,1.0013211,1.0012661,1.0012145,1.001137
HT0431-03,3e Section Roche Plate,16449.875,.99921328,.99918807,.99917966,.99916279,.9991433
HT0432-01,1re Section Foulon,3190.3362,.99921328,.99918807,.99917966,.99916279,.9991433
HT0432-02,2e Section Bois Blanc,3428.7764,1.0000505,1.000012,.99998558,.9999553,.99991345
HT0432-03,3e Section Cotelette,2773.2988,.99921328,.99918807,.99917966,.99916279,.9991433
HT0432-04,4e Section Sarazin,4355.6309,1.0000577,1.0000191,.99999249,.99996209,.99992007
HT0432-05,5e Section Moka Neuf,4890.2603,.99921328,.99918807,.99917966,.99916279,.9991433
HT0432-06,6e Section Fond Bleu,9584.1875,.99941188,.99938351,.99937081,.99935079,.99932599
HT0433-01,1re Section Fond Blanc,20008.498,1.001865,1.0017977,1.0017322,1.0016729,1.0015825
HT0433-02,2e Section Grand Bassin,14020.176,1.0014983,1.0014368,1.0013793,1.0013258,1.0012453
HT0434-01,1re Section Champin,5835.8818,1.0011654,1.0011092,1.0010588,1.0010107,1.000939
HT0434-02,"2e Section Glaudine ou ""Jacquesil""",2348.3179,.99921328,.99918807,.99917966,.99916279,.9991433
HT0441-01,1re Section Trois Palmistes,11942.859,.99996382,.99992669,.99990213,.99987322,.9998337
